postcode,easting,northing,soilType,elevation,localAuthority,riskLabel,medianPrice,historicallyFlooded,longitude,latitude
LS23 6XP,440524,448408,Unsurveyed/Urban,30,Leeds,1,418600,FALSE,-1.384313663,53.93022015877839
HD1 5QG,413510,417199,Unsurveyed/Urban,140,Kirklees,1,79900,FALSE,-1.797082617,53.651119907393515
PE30 9DZ,562096,320460,Unsurveyed/Urban,0,King's Lynn and West Norfolk,1,,TRUE,0.4006016445192322,52.757432776144306
S80 4PT,452864,376215,Unsurveyed/Urban,110,Bolsover,1,126500,FALSE,-1.20861496,53.28028459629203
B77 4LS,423500,302205,Planosols,80,Tamworth,1,247600,FALSE,-1.654336999,52.61711136807293
NN16 6JN,486533,278774,Unsurveyed/Urban,80,North Northamptonshire,1,,FALSE,-0.729579883,52.400149164879565
DE23 1LA,434402,332717,Unsurveyed/Urban,60,Derby,1,140700,FALSE,-1.490128641,52.89081053681184
PE32 2XG,581700,315200,Leptosols,40,King's Lynn and West Norfolk,1,334200,FALSE,0.6878681438340283,52.703969318751035
NE61 6PU,425563,590758,Stagnosols,20,Northumberland,1,306700,FALSE,-1.599829797,55.210411592975696
PE12 6AE,524496,318957,Gleysols,0,South Holland,8,255300,FALSE,-0.1567875,52.753892220000466
DH3 1GL,427623,556891,Cambisols,80,Gateshead,1,146000,FALSE,-1.570725276,54.905978635597094
YO5 8QZ,446475,452241,Luvisols,20,Harrogate,1,,FALSE,-1.293106101,53.96416896082716
IP21 4RJ,621542,284253,Cambisols,30,South Norfolk,1,735300,FALSE,1.2559637872502891,52.41139177299568
WF7 6LT,442832,421232,Unsurveyed/Urban,60,Wakefield,1,91600,FALSE,-1.352936267,53.68579433056549
HX1 1XY,409212,425256,Unsurveyed/Urban,150,Calderdale,1,174400,FALSE,-1.861870363,53.723629391862936
DL8 5LU,416819,493892,Cambisols,200,Richmondshire,1,284300,FALSE,-1.742812335,54.34030830246712
IP19 0EA,633429,272573,Cambisols,30,East Suffolk,1,232100,FALSE,1.422295506261257,52.30163694727429
LS6 9DZ,430522,435082,Unsurveyed/Urban,40,Leeds,1,,FALSE,-1.53795703,53.81113592773117
DE23 3XB,432308,332948,Luvisols,60,Derby,1,247700,FALSE,-1.521227611,52.89301643854225
NE23 6TW,427062,576580,Unsurveyed/Urban,70,Northumberland,1,228500,FALSE,-1.577621283,55.08293297443154
HU17 7EH,502230,440570,Unsurveyed/Urban,20,East Riding of Yorkshire,1,355400,FALSE,-0.447420866,53.85130988241667
NG17 8EX,449651,356679,Unsurveyed/Urban,160,Ashfield,1,164000,FALSE,-1.259827751,53.10500262820533
CA6 7NN,368379,551054,Stagnosols,250,Northumberland,1,,FALSE,-2.494039334,54.85327673473934
LS26 1FY,439221,432401,Unsurveyed/Urban,50,Leeds,1,,FALSE,-1.406196287,53.78645921
NR28 0SE,630818,334404,Cambisols,40,North Norfolk,1,340900,FALSE,1.4271191820713547,52.85760566502009
NE2 2LY,425802,566269,Unsurveyed/Urban,50,Newcastle upon Tyne,1,392700,FALSE,-1.59828556,54.99034638157958
SK4 9BH,389357,390095,Unsurveyed/Urban,60,Stockport,1,,FALSE,-2.161561678,53.407561229200425
DN6 7UD,452981,408257,Unsurveyed/Urban,40,Doncaster,1,137300,FALSE,-1.201483908,53.568255316691165
SK11 0NB,394467,371713,Stagnosols,190,Cheshire East,6,464800,FALSE,-2.084367455,53.242411088127504
NG34 0JL,513003,337503,Cambisols,10,North Kesteven,8,269700,FALSE,-0.320578411,52.92306131767508
DE4 9BJ,429917,360272,Unsurveyed/Urban,100,Derbyshire Dales,1,,TRUE,-1.554243102,53.138766150891584
NG9 8HA,449004,338583,Unsurveyed/Urban,50,Broxtowe,1,177300,FALSE,-1.272232669,52.94240820898958
DE2 0FX,437900,332500,Unsurveyed/Urban,50,Derby,1,,FALSE,-1.43816578,52.88862553279112
YO2 6HR,456043,454880,Luvisols,10,York,1,,FALSE,-1.146800606,53.98693875618025
HG2 9HW,430422,453192,Unsurveyed/Urban,140,Harrogate,1,590500,FALSE,-1.53768377,53.97390577
DL5 5JR,427122,524496,Unsurveyed/Urban,90,County Durham,1,90800,FALSE,-1.581550279,54.61489575768918
SK12 1GN,391049,383774,Unsurveyed/Urban,90,Cheshire East,1,388600,FALSE,-2.135928587,53.35077629858251
WS7 0BJ,406269,308956,Unsurveyed/Urban,140,Lichfield,1,246200,FALSE,-1.908713478,52.67826939538227
OL4 4SE,395737,405164,Unsurveyed/Urban,210,Oldham,1,258900,FALSE,-2.065801166,53.54309946478159
NR30 2SF,652500,307194,Unsurveyed/Urban,0,Great Yarmouth,1,152100,TRUE,1.7275637213554573,52.60379865548773
HG3 1ZT,431404,456372,Unsurveyed/Urban,100,Harrogate,1,759100,FALSE,-1.522386336,54.00242706977981
HG1 9GY,431404,456372,Unsurveyed/Urban,100,Harrogate,1,,FALSE,-1.522386336,54.00242706977981
TS18 5DF,442228,517662,Unsurveyed/Urban,20,Stockton-on-Tees,1,150400,FALSE,-1.348637949,54.55245042358517
HU4 7NB,504890,428205,Unsurveyed/Urban,10,"Kingston upon Hull, City of",8,105900,FALSE,-0.411205933,53.73968685280727
NR11 7LE,614248,334709,Cambisols,50,North Norfolk,1,320100,FALSE,1.1816191630057926,52.86718674255047
DE14 1ER,424299,322955,Unsurveyed/Urban,50,East Staffordshire,6,179700,TRUE,-1.641009366,52.803607051469776
YO12 6HH,502109,489433,Unsurveyed/Urban,50,Scarborough,1,191500,FALSE,-0.432813129,54.290329393301406
NR6 7LA,623731,311919,Unsurveyed/Urban,30,Broadland,1,225200,FALSE,1.3067109347911332,52.65880356299354
S36 2QN,427694,398091,Unsurveyed/Urban,200,Sheffield,1,106900,FALSE,-1.584184623,53.478820405543914
SK10 2XG,392003,376053,Cambisols,150,Cheshire East,1,372300,FALSE,-2.121399721,53.28139032
NR21 8FB,592426,329643,Luvisols,40,North Norfolk,1,169600,FALSE,0.8548885880787538,52.82994154
NE9 7EG,426556,558435,Unsurveyed/Urban,100,Gateshead,1,88600,FALSE,-1.587223667,54.91991070123047
NG14 5HA,465910,344479,Cambisols,20,Newark and Sherwood,2,348200,FALSE,-1.019496337,52.99359482627526
NG7 2PU,455825,337922,Unsurveyed/Urban,30,Nottingham,1,1103400,TRUE,-1.170855837,52.93580231805896
HD9 9SN,414136,408205,Unsurveyed/Urban,150,Kirklees,1,,FALSE,-1.788016707,53.57026384563442
CW11 0AS,375900,360900,Unsurveyed/Urban,70,Cheshire East,1,,FALSE,-2.361760272,53.14469424376165
NN15 5RR,489647,274378,Cambisols,70,North Northamptonshire,1,238900,FALSE,-0.68499797,52.36013854992092
DH4 6RG,432043,546319,Stagnosols,90,County Durham,1,155300,FALSE,-1.5029634,54.81071547780527
TS19 8DD,442590,521189,Unsurveyed/Urban,30,Stockton-on-Tees,1,60300,FALSE,-1.342531945,54.584114529235315
SK22 1EA,401045,390384,Gleysols,330,High Peak,1,378800,FALSE,-1.985744946,53.41026773796751
LS18 5LN,423546,438083,Unsurveyed/Urban,130,Leeds,1,249600,FALSE,-1.643667376,53.83846919470882
NE34 9BX,435365,564315,Unsurveyed/Urban,20,South Tyneside,1,342900,FALSE,-1.449077096,54.972203239607886
CW11 9SR,379001,362822,Gleysols,70,Cheshire East,1,,FALSE,-2.315526511,53.16210261
DE4 1RB,425143,372221,Cambisols,110,Derbyshire Dales,1,,TRUE,-1.624668765,53.24641745424755
TS18 1EW,444264,518658,Unsurveyed/Urban,10,Stockton-on-Tees,1,99700,FALSE,-1.317012864,54.561227179565755
NG3 4FX,457506,341085,Unsurveyed/Urban,60,Nottingham,1,212200,FALSE,-1.145288029,52.96405506113892
S36 1LA,425633,398741,Unsurveyed/Urban,200,Sheffield,1,143500,FALSE,-1.615185418,53.48476669508547
B16 6GG,404836,286159,Unsurveyed/Urban,160,Birmingham,1,,FALSE,-1.930233324,52.473343197886365
LN8 5RW,516797,381283,Stagnosols,50,East Lindsey,1,173400,FALSE,-0.248252553,53.315605948177364
HU3 5LA,506992,428070,Unsurveyed/Urban,10,"Kingston upon Hull, City of",6,100800,FALSE,-0.379397351,53.73804741056453
HG4 4NS,421868,480266,Cambisols,90,Harrogate,1,450500,FALSE,-1.666146019,54.21766006520541
LN2 3EL,500348,390443,Gleysols,20,West Lindsey,1,282500,FALSE,-0.492160438,53.40128204356448
WF4 3AH,431228,416851,Stagnosols,40,Wakefield,1,178200,FALSE,-1.529069338,53.64723842733689
IP11 7QA,629724,234231,Unsurveyed/Urban,10,East Suffolk,1,334600,FALSE,1.3421805558035156,51.959075535173646
HU3 4NH,507600,427400,Unsurveyed/Urban,10,"Kingston upon Hull, City of",1,179400,FALSE,-0.370416552,53.731902904989646
PE25 2LU,555182,364193,Gleysols,0,East Lindsey,6,146100,FALSE,0.31916593528751164,53.15226764273875
NR11 6TY,628437,330187,Unsurveyed/Urban,30,North Norfolk,1,320000,FALSE,1.3888695611810313,52.820778336329965
OL3 6DJ,399928,405735,Unsurveyed/Urban,180,Oldham,1,296000,FALSE,-2.002557529,53.548250017811085
S64 9WB,444600,401062,Unsurveyed/Urban,20,Rotherham,1,78000,FALSE,-1.329045305,53.50436604210876
S5 6HE,436995,391355,Unsurveyed/Urban,110,Sheffield,1,121400,FALSE,-1.444836362,53.41770739224938
M34 5HE,392490,397392,Unsurveyed/Urban,100,Tameside,1,248000,FALSE,-2.114610657,53.473204711352174
WV12 4LE,396700,299800,Unsurveyed/Urban,140,Walsall,1,140100,FALSE,-2.050150783,52.59598375817434
TS24 0RS,452607,533845,Unsurveyed/Urban,10,Hartlepool,1,138300,FALSE,-1.185287509,54.69689792120909
LE8 9HE,465661,297473,Luvisols,100,Harborough,8,288200,FALSE,-1.03261828,52.571125937626164
B33 8TF,412354,286512,Unsurveyed/Urban,100,Birmingham,1,194100,FALSE,-1.819541697,52.47639984975622
BD6 3AF,414502,430730,Unsurveyed/Urban,240,Bradford,1,93400,FALSE,-1.781446131,53.77271046344001
S40 4XH,435063,372271,Planosols,130,Chesterfield,1,176100,FALSE,-1.476009216,53.24630652328511
HD7 4PZ,409509,415833,Unsurveyed/Urban,210,Kirklees,1,210500,FALSE,-1.857654681,53.63892922960856
DE4 4GD,429232,354104,Stagnosols,170,Derbyshire Dales,1,331400,FALSE,-1.565041896,53.08336149113475
NR21 8AY,592189,329594,Luvisols,40,North Norfolk,1,218500,FALSE,0.8513465371985276,52.82958610036961
NR9 5NP,613723,319319,Gleysols,20,Broadland,1,419900,FALSE,1.1637832658556848,52.72925902452638
YO17 7BA,477761,471847,Leptosols,50,Ryedale,1,272700,FALSE,-0.811310812,54.13659147421036
SK7 1AH,389124,384631,Unsurveyed/Urban,80,Stockport,1,542900,FALSE,-2.164876407,53.35844301737131
B18 7DY,404439,287975,Unsurveyed/Urban,140,Birmingham,1,368400,FALSE,-1.936054337,52.489672236132854
CV9 3AD,430774,298529,Unsurveyed/Urban,80,North Warwickshire,1,346300,FALSE,-1.547243292,52.583704050784824
BD8 0DP,412748,433447,Unsurveyed/Urban,160,Bradford,1,93800,FALSE,-1.807947478,53.79717615147455
BD12 9QP,415786,427005,Unsurveyed/Urban,160,Bradford,1,153300,FALSE,-1.762153616,53.73919333204053
